no,h2_name,addr,pay,tel
1,서울특별시 서소문청사 수소충전소,서울,8800,07086481164
2,H광진 Moving Station,서울,8800,024635694
3,도봉수소충전소,서울,10500,029567001
4,서울특별시 상암수소스테이션 ,서울,8800,0231510336
5,마곡 에코 수소충전소,서울,9900,0260818883
6,E1 오곡 수소충전소,서울,11000,0326849061
7,서울 강서 공영차고지 버스 수소충전소,서울,9600,
8,H국회수소충전소,서울,9900,07088827742
9,서울특별시 양재그린카스테이션 ,서울,8800,025294250
10,H강동수소충전소,서울,11700,024265373
11,대도하이젠 영도 수소충전소,부산,12100,0514045677
12,하이넷 해운대 수소충전소,부산,9900,07040775092
13,하이버스 부산장림 수소충전소,부산,12100,0512667650
14,하이스원 금사회동 수소충전소,부산,12000,0515223234
15,하이버스 부산노포 수소충전소,부산,12100,0515087658
16,서부산NK수소충전소,부산,11000,0517110580
17,서부산 강서 공영 수소버스충전소,부산,11550,0519412223
18,H부산수소충전소,부산,12100,0513172777
19,하이넷 부산정관 수소충전소,부산,9900,0517277868
20,대진여객수소충전소,부산,12100,0517232256
21,대구 혁신도시 수소충전소,대구,10900,07082873337
22,관음 복합 충전소,대구,10900,0536061312
23,하이버스 대구검단 수소충전소,대구,12100,0533847660
24,하이넷 대구성서 수소충전소,대구,9900,0536061188
25,대구 주행시험장수소충전소,대구,9900,0536707990
26,하이넷 인천공항T1 수소충전소,인천,9900,07043040786
27,하이넷 인천공항T2 수소충전소,인천,9900,07043043764
28,인천그린수소충전소,인천,9900,0327526025
29,내트럭인천 수소충전소,인천,11550,0322257861
30,하이버스 인천신흥 수소충전소,인천,11000,0328865191
31,하이버스 인천송도 수소충전소,인천,11550,0328327656
32,H인천수소충전소 에코스테이션,인천,11000,0324469094
33,남동농협 수소충전소,인천,11000,0324681868
34,태양수소충전소,인천,11000,0325732222
35,하이넷 환경산업연구단지 수소충전소,인천,9900,07077271719
36,하이넷 인천연희 수소충전소,인천,9900,07040351560
37,인천 가좌 액화수소 자동차 충전소,인천,11550,0325811153
38,(JNK)수도권매립지 수소충전소,인천,11550,0325629304
39,인천 경서 액화수소 자동차 충전소,인천,11550,07050305297
40,하이버스 인천오류 수소충전소,인천,11000,0325667661
41,광주 벽진 수소충전소,광주,9900,0629609578
42,광주 임암수소충전소,광주,9900,0629609579
43,광주 월출 수소충전소,광주,9900,0629609577
44,장등 수소 버스전용 충전소,광주,9900,
45,광주 진곡수소충전소,광주,9900,0629609580
46,광주 동곡수소충전소,광주,9900,0629419534
47,E1 광주 오렌지 수소충전소,광주,9900,0629449500
48,대전 대성 중도가스 충전소,대전,9600,0422822313
49,낭월 수소충전소,대전,9600,0422869890
50,하이넷 대전삼정 수소충전소,대전,9900,0422714451
51,하이넷 대전중촌 수소충전소,대전,9900,0422578898
52,대전 학하수소충전소,대전,9600,0427167362
