no,h2_name,addr,pay,tel
1,서울특별시 서소문청사 수소충전소,서울 중구 덕수궁길 15,"8,800원",07086481164
2,H광진 Moving Station,서울 광진구 동일로 323,"8,800원",024635694
3,도봉수소충전소,서울 도봉구 평화로 5,"10,500원",029567001
4,서울특별시 상암수소스테이션 ,서울 마포구 하늘공원로 108,"8,800원",02-3151-0336
5,마곡 에코 수소충전소,서울 강서구 양천로 225,"9,900원",02-6081-8883
6,E1 오곡 수소충전소,서울 강서구 벌말로 271,"11,000원",0326849061
7,서울 강서 공영차고지 버스 수소충전소,서울 강서구 개화동로8길 17,"9,600원",-
8,H국회수소충전소,서울 영등포구 의사당대로 1,"9,900원",070-8882-7742
9,서울특별시 양재그린카스테이션 ,서울 서초구 바우뫼로12길 65,"8,800원",02-529-4250
10,H강동수소충전소,서울 강동구 천호대로 1452,"11,700원",024265373
11,대도하이젠 영도 수소충전소,부산 영도구 해양로246번길 19,"12,100원",0514045677
12,하이넷 해운대 수소충전소,부산 해운대구 해운대로 1255,"9,900원",07040775092
13,하이버스 부산장림 수소충전소,부산 사하구 다대로1066번길 19,"12,100원",0512667650
14,하이스원 금사회동 수소충전소,부산 금정구 개좌로239번길 10,"12,000원",0515223234
15,하이버스 부산노포 수소충전소,부산 금정구 중앙대로 2309,"12,100원",0515087658
16,서부산NK수소충전소,부산 강서구 가락대로 347,"11,000원",051-711-0580
17,서부산 강서 공영 수소버스충전소,부산 강서구 녹산화전로 117,"11,550원",0519412223
18,H부산수소충전소,부산 사상구 학감대로 167,"12,100원",051-317-2777
19,하이넷 부산정관 수소충전소,부산 기장군 정관읍 신정관로 187,"9,900원",051-727-7868
20,대진여객수소충전소,부산 기장군 철마면 반송로 973-15,"12,100원",0517232256
21,대구 혁신도시 수소충전소,대구 동구 첨단로 120,"10,900원",07082873337
22,관음 복합 충전소,대구 북구 관음로 127,"10,900원",0536061312
23,하이버스 대구검단 수소충전소,대구 북구 검단순환로5길 11,"12,100원",0533847660
24,하이넷 대구성서 수소충전소,대구광역시 달서구 성서공단로 93,"9,900원",053-606-1188
25,대구 주행시험장수소충전소,대구 달성군 구지면 국가산단서로 201,"9,900원",053-670-7990
26,하이넷 인천공항T1 수소충전소,인천 중구 공항동로135번길 233,"9,900원",070-4304-0786
27,하이넷 인천공항T2 수소충전소,인천 중구 제2터미널대로 343,"9,900원",070-4304-3764
28,인천그린수소충전소,인천 중구 축항대로290번길 124,"9,900원",0327526025
29,내트럭인천 수소충전소,인천 중구 축항대로296번길 183,"11,550원",0322257861
30,하이버스 인천신흥 수소충전소,인천 중구 서해대로94번길 57-33,"11,000원",0328865191
31,하이버스 인천송도 수소충전소,인천 연수구 송도국제대로372번길 32,"11,550원",0328327656
32,H인천수소충전소 에코스테이션,인천 남동구 청능대로468번길 1,"11,000원",032-446-9094
33,남동농협 수소충전소,인천 남동구 소래로 440,"11,000원",0324681868
34,태양수소충전소,인천 서구 봉수대로 258,"11,000원",0325732222
35,하이넷 환경산업연구단지 수소충전소,인천 서구 정서진로 410,"9,900원",07077271719
36,하이넷 인천연희 수소충전소,인천 서구 경명대로 571,"9,900원",07040351560
37,인천 가좌 액화수소 자동차 충전소,인천 서구 보도진로30번길 26,"11,550원",0325811153
38,(JNK)수도권매립지 수소충전소,인천 서구 거월로 17,"11,550원",0325629304
39,인천 경서 액화수소 자동차 충전소,인천 서구 경명대로 276,"11,550원",07050305297
40,하이버스 인천오류 수소충전소,인천 서구 보듬로 32,"11,000원",0325667661
41,광주 벽진 수소충전소,광주 서구 눌재로 589,"9,900원",062-960-9578
42,광주 임암수소충전소,광주광역시 남구 김치로 60 광주김치타운,"9,900원",062-960-9579
43,광주 월출 수소충전소,광주 북구 추암로 249,"9,900원",062-960-9577
44,장등 수소 버스전용 충전소,광주 북구 장운길 55,"9,900원",-
45,광주 진곡수소충전소,광주 광산구 진곡산단중앙로 55,"9,900원",062-960-9580
46,광주 동곡수소충전소,광주 광산구 동곡로 326,"9,900원",062-941-9534
47,E1 광주 오렌지 수소충전소,광주 광산구 상무대로 469,"9,900원",0629449500
48,대전 대성 중도가스 충전소,대전 동구 대전로 295,"9,600원",042-282-2313
49,낭월 수소충전소,대전 동구 금산로 455,"9,600원",0422869890
50,하이넷 대전삼정 수소충전소,대전 동구 옥천로 309,"9,900원",0422714451
51,하이넷 대전중촌 수소충전소,대전 중구 대전천서로 767,"9,900원",0422578898
52,대전 학하수소충전소,대전 유성구 유성대로 437,"9,600원",042-716-7362
53,하이넷 자운대 수소충전소,대전 유성구 자운로 62,"9,900원",070-4144-4833
54,린데수소충전소/대전유성수소충전소,대전 유성구 현충원로 168,"9,900원",07077778642
55,하이넷 신탄진휴게소(서울방향) 수소충전소,대전 대덕구 산업단지로 27,"9,900원",070-7780-2046
56,신대 수소충전소,대전 대덕구 신탄진로315번길 72,"9,600원",042-716-4015
57,옥동 수소복합충전소,울산 남구 남부순환도로 465,"9,900원",052-265-5540
58,울산 투게더수소충전소,울산광역시 남구 신화로 101,"9,900원",052-700-5859
59,에어프로덕츠 울산 수소충전소,울산광역시 남구 처용로487번길 83 한국산업가스㈜,"8,500원",052-259-4090
60,울산상개 SK수소충전소,울산 남구 산업로 100,"9,000원",0529988488
61,태화강역 수소충전소,울산 남구 산업로 700,"9,500원",0527009080
62,경동 수소복합충전소,울산 북구 북부순환도로 1165,"9,900원",052-288-0610
63,경수소충전소,울산 북구 산업로 1274,"9,900원",0522013000
64,코하이젠 울산명촌 수소충전소,울산 북구 산업로 768,"10,700원",0527003155
65,신일복합충전소,울산 울주군 웅촌면 웅촌로 490,"9,500원",052-225-1500
66,그린복합충전소,울산 울주군 온산읍 온산로 256,"9,700원",052-239-9600
67,언양휴게소(서울방향) 수소충전소,울산 울주군 언양읍 경부고속도로 44,"10,000원",052-263-6146
68,울산 덕하복합충전소,울산 울주군 청량읍 온산로 545,"9,800원",052-911-5442
69,언양 복합충전소,울산 울주군 삼남읍 신화리로 148,"10,900원",0522543100
70,하이넷 세종청사 수소충전소,세종특별자치시 다솜2로 61 설비동,"9,900원",044-905-5100
71,하이넷 세종대평 수소충전소,세종특별자치시 종합운동장로 29,"9,900원",070-4196-7002
72,코하이젠 세종대평 수소충전소,세종특별자치시 해들로 27,"11,080원",0448633155
73,하이넷 수원영통 수소충전소,경기 수원시 영통구 광교호수로 250,"9,900원",070-5014-4853
